marca,profile,shortcode,url,views,clasificacion,confianza,frase_gancho,razon,atributo_tecnico,beneficio_operativo,valor_emocional,mensaje_principal,submensaje,cta,comentarios,log_views,tier_views
Maquiempanadas,maquiempanadas,DSGycCDgbjT,https://www.instagram.com/maquiempanadas/reel/DSGycCDgbjT/,5435,BENEFICIO,alta,"¿No hay con quién trabajar justo ahora? Te mostramos cómo producir sin frenos, incluso cuando falta personal.","Argumento directo: tus ventas no pueden caer en temporada alta; con el equipo correcto, producción constante. Promesa de impacto operacional/económico.",,,,,,,,3.7352794480604565,Bajo
Maquiempanadas,maquiempanadas,DTF9GKtjRJd,https://www.instagram.com/maquiempanadas/reel/DTF9GKtjRJd/,5199,VALOR,alta,¿Y si esto fuera mi negocio? De un antojo a un sueño que se puede construir.,"Reflexión aspiracional sobre el pandebono como puerta a un negocio propio. El frame es el sueño del emprendedor, no la máquina ni cifras.",,,,,,,,3.716003343634799,Bajo
Maquiempanadas,maquiempanadas,DT-LA2uE1rl,https://www.instagram.com/maquiempanadas/reel/DT-LA2uE1rl/,5017,VALOR,media,"Hay amores que saben a pollo, otros a carne, otros a queso.","Reflexión emocional sobre @deliciasycronch (""ese momentico que huele a hogar""). Identidad afectiva del producto por encima de cualquier rasgo técnico.",,,,,,,,3.7005306569785916,Bajo
Maquiempanadas,maquiempanadas,DTNu0gBDQSO,https://www.instagram.com/maquiempanadas/reel/DTNu0gBDQSO/,4899,CARACTERÍSTICA,baja,Conoce la máquina nueva en vivo.,"Aviso corto de lanzamiento de máquina, sin desarrollar spec ni promesa. La señal apunta al equipo nuevo.",,,,,,,,3.690196080028514,Bajo
Maquiempanadas,maquiempanadas,DS-Ov0WFLf1,https://www.instagram.com/maquiempanadas/reel/DS-Ov0WFLf1/,4464,VALOR,media,"Amasar, rellenar, cortar y empacar — así fue para muchos la mejor época del año.","Caso @latradicionempandas (sabores ecuatorianos) narrado como ritmo y mística de fin de año. Frame es identidad y trabajo del emprendedor, no cifras.",,,,,,,,3.649821463224565,Bajo
Maquiempanadas,maquiempanadas,DSHudt7DZU0,https://www.instagram.com/maquiempanadas/reel/DSHudt7DZU0/,3956,BENEFICIO,alta,"Te ayudamos a descubrir exactamente cuánto podrías producir, vender y ganar.","Diagnóstico personalizado en términos de producción, ventas y ganancia. Promesa económica directa al negocio del cliente.",,,,,,,,3.597366050266028,Bajo
Maquiempanadas,maquiempanadas,DWkCshpiGtQ,https://www.instagram.com/maquiempanadas/reel/DWkCshpiGtQ/,3951,VALOR,alta,Tener una mamá latina es esto. Eso es ser emprendedora latina. Y eso no tiene precio.,"Caso @delorigen narrado como identidad latina/maternal. Sin spec ni cifras, todo es relato e identidad cultural.",,,,,,,,3.5968169359155904,Bajo
Maquiempanadas,maquiempanadas,DSfwhiFjO-i,https://www.instagram.com/maquiempanadas/reel/DSfwhiFjO-i/,3918,VALOR,alta,"La empanada hawaiana existe: atrévete a combinar, inventar y diferenciarte.","Caso @unicas.empanadas presentado como innovación y creatividad (""sabores que se recuerdan""). Frame de identidad creativa más que de rendimiento.",,,,,,,,3.5931752634781025,Bajo
Maquiempanadas,maquiempanadas,DSne7LoDRLU,https://www.instagram.com/maquiempanadas/reel/DSne7LoDRLU/,3259,BENEFICIO,alta,"Cuando una buena receta encuentra la herramienta correcta, no tiene fronteras.","Caso @tropicalfood.ca: argumento central es estandarización (misma forma, peso, calidad) que habilita venta al por mayor, festivales, distribución. Impacto operacional y comercial.",,,,,,,,3.513217600067939,Bajo
Maquiempanadas,maquiempanadas,DW3kddNiN35,https://www.instagram.com/maquiempanadas/reel/DW3kddNiN35/,2933,VALOR,alta,"La empanada es cultura, es madrugada, es esfuerzo.",Día de la Empanada como celebración de identidad cultural y trabajo. Sin contenido funcional sobre el equipo o el negocio.,,,,,,,,3.4674601095072637,Bajo
Maquiempanadas,maquiempanadas,DS27tzIj2HV,https://www.instagram.com/maquiempanadas/reel/DS27tzIj2HV/,2828,VALOR,alta,"Cuando hay propósito, la producción responde.","Caso @delaabuela con frame ""convirtió la tradición en un negocio rentable"". Aunque hay mención de capacidad y portafolio, el ancla narrativa es propósito y tradición.",,,,,,,,3.4516329474569907,Bajo
Maquiempanadas,maquiempanadas,DU8jvPeDUA8,https://www.instagram.com/maquiempanadas/reel/DU8jvPeDUA8/,2808,CARACTERÍSTICA,alta,"Hoy mostramos la CM05i en acción: producción, rendimiento, alertas y analítica, todo en tiempo real.","Demo en vivo enfocado en features de la máquina (producción, alertas, analítica). El argumento se construye sobre lo que el equipo hace, no sobre el negocio del cliente.",,,,,,,,3.448551739201578,Bajo
Maquiempanadas,maquiempanadas,DVbWdHgjSjf,https://www.instagram.com/maquiempanadas/reel/DVbWdHgjSjf/,2683,VALOR,baja,Conoce el secreto para tener 4 tiendas Iguana en Manizales.,"Teaser sobre caso de éxito de cadena de cafés. Frame aspiracional/identidad (""el secreto""), sin spec ni cifras.",,,,,,,,3.4287825114969546,Bajo
Maquiempanadas,maquiempanadas,DTQukA0EYUt,https://www.instagram.com/maquiempanadas/reel/DTQukA0EYUt/,2643,CARACTERÍSTICA,baja,En nuestras demos en vivo.,"Frase suelta sobre las demos en vivo. Sin desarrollar funcionalidad, beneficio o relato.",,,,,,,,3.4222614508136027,Bajo
Maquiempanadas,maquiempanadas,DSIN-tdjc_b,https://www.instagram.com/maquiempanadas/reel/DSIN-tdjc_b/,2635,BENEFICIO,alta,Conoce cómo recuperar la inversión de la máquina en meses.,Promesa explícita de ROI en meses. Argumento puramente económico sobre la inversión del cliente.,,,,,,,,3.420945405921972,Bajo
Maquiempanadas,maquiempanadas,DWe5EotgYsS,https://www.instagram.com/maquiempanadas/reel/DWe5EotgYsS/,2403,VALOR,alta,Una niña vendiendo empanadas en el recreo. Hoy despacha hasta 2.500 empanadas los fines de semana.,"Historia de origen de Lunchería Yusmila desde la infancia hasta el negocio actual. Aunque cita 2.500/fin de semana, el frame dominante es la trayectoria personal.",,,,,,,,3.380934463330702,Bajo
Maquiempanadas,maquiempanadas,DSFP-hyDcme,https://www.instagram.com/maquiempanadas/reel/DSFP-hyDcme/,2213,BENEFICIO,alta,¿Quiere saber cómo se recupera la inversión?,Hook financiero directo: ROI de la máquina. Argumento exclusivamente económico.,,,,,,,,3.345177616542704,Bajo
Maquiempanadas,maquiempanadas,DWhd2SUCcXZ,https://www.instagram.com/maquiempanadas/reel/DWhd2SUCcXZ/,1648,VALOR,alta,"Volar solo por empanadas. Cuando tu producto genera ese nivel de lealtad, ya no necesitas convencer a nadie.","Caso @empanadasyayita centrado en lealtad y experiencia del cliente final. Frame identitario (""masa delgadita, toque dulce, lo que ninguna otra tiene""), no rendimiento técnico.",,,,,,,,3.217220655644519,Bajo
Metalurgica Vazquez,metalurgicavazquez,DQNXQvcAABa,https://www.instagram.com/metalurgicavazquez/reel/DQNXQvcAABa/,8000000,BENEFICIO,alta,"La máquina que revoluciona la producción de empanadas: más producción, menos esfuerzo, y un acabado perfecto en cada pieza.","Aunque cita la AR6-D y ""6 empanadas por ciclo"", el cierre es la promesa al cliente: más producción, menos esfuerzo. Marco de impacto operacional.",,,,,,,,6.903090041278751,Viral
Metalurgica Vazquez,metalurgicavazquez,DPzlmXij-0u,https://www.instagram.com/metalurgicavazquez/reel/DPzlmXij-0u/,3400000,BENEFICIO,alta,La máquina A1 llegó para simplificar tu producción.,"""Simplificar tu producción"", ""producir más con menos esfuerzo"", ""ideal para emprendimientos que quieren crecer"". Argumento centrado en el negocio del cliente.",,,,,,,,6.5314790447759075,Viral
Metalurgica Vazquez,metalurgicavazquez,DWOryC_jTBK,https://www.instagram.com/metalurgicavazquez/reel/DWOryC_jTBK/,491000,BENEFICIO,alta,Llevá tu producción al siguiente nivel con nuestra máquina manual.,"Marco aspiracional al pyme/emprendedor: optimizar tiempos, mejorar producción, dar un paso más. La cifra (100 docenas/hora) es soporte, no el ancla.",,,,,,,,5.691082376632214,Alto
Metalurgica Vazquez,metalurgicavazquez,DXO2W8lCkl1,https://www.instagram.com/metalurgicavazquez/reel/DXO2W8lCkl1/,454000,BENEFICIO,alta,"Más variedad, más eficiencia y una producción mucho más práctica.","Encabezado en términos de outcomes operacionales (variedad, eficiencia, practicidad). La Múltipla aparece como vehículo, pero la promesa es para el negocio.",,,,,,,,5.657056809451825,Alto
Metalurgica Vazquez,metalurgicavazquez,DWuTSLKimec,https://www.instagram.com/metalurgicavazquez/reel/DWuTSLKimec/,366000,BENEFICIO,alta,Crecer en el negocio de empanadas también es mejorar el proceso.,Argumento explícito: la AR6D permite producir 700/hora con un operador y 1.200 con dos. Crecimiento del negocio cuantificado.,,,,,,,,5.563482271989734,Alto
Metalurgica Vazquez,metalurgicavazquez,DXKq6lACj99,https://www.instagram.com/metalurgicavazquez/reel/DXKq6lACj99/,279000,CARACTERÍSTICA,alta,Estamos felices de contarles que MONV ahora es distribuidor oficial de ITALGI.,"Anuncio de alianza + presentación detallada de Modula con cortes (1,8/6/10 mm) y formatos (lasaña, tagliolini, ravioli, etc.). Foco en el equipo y sus capacidades técnicas.",,,,,,,,5.445605759881854,Alto
Metalurgica Vazquez,metalurgicavazquez,DWJjwBJjTVb,https://www.instagram.com/metalurgicavazquez/reel/DWJjwBJjTVb/,237000,VALOR,alta,"De Argentina al mundo. No solo hacemos máquinas: llevamos trabajo argentino, innovación y experiencia.","Manifiesto de identidad nacional y orgullo de marca. La frase clave niega explícitamente que el mensaje sea sobre ""máquinas"".",,,,,,,,5.374750178472406,Alto
Metalurgica Vazquez,metalurgicavazquez,DV1SN-cAPin,https://www.instagram.com/metalurgicavazquez/reel/DV1SN-cAPin/,156000,CARACTERÍSTICA,alta,"Cuando la tecnología está bien hecha, se nota. En el ritmo. En la precisión. Y en el resultado.","Frase concentrada en cualidades técnicas del equipo (ritmo, precisión, resultado) + nombre del modelo (Junior 600) y su función. La protagonista es la máquina.",,,,,,,,5.193127382284525,Alto
Metalurgica Vazquez,metalurgicavazquez,DWcXfXXj4tL,https://www.instagram.com/metalurgicavazquez/reel/DWcXfXXj4tL/,154000,CARACTERÍSTICA,alta,Conocé nuestra AR2D con dosificación automática — 500 empanadas por hora.,"Presentación del equipo y su capacidad. Cifra como rasgo del equipo, no como promesa al negocio.",,,,,,,,5.187523540921346,Alto
Metalurgica Vazquez,metalurgicavazquez,DXHSPOkI163,https://www.instagram.com/metalurgicavazquez/reel/DXHSPOkI163/,137000,BENEFICIO,alta,Aumentá tu producción sin tener que contratar más personal.,Promesa única y directa: producir más sin sumar nómina. Marco de eficiencia laboral del cliente.,,,,,,,,5.136723737177552,Alto
Metalurgica Vazquez,metalurgicavazquez,DXmPxHxjT53,https://www.instagram.com/metalurgicavazquez/reel/DXmPxHxjT53/,78000,CARACTERÍSTICA,alta,"Más tapas, menos tiempo. La MINI JUNIOR corta discos de masa con precisión, orden y ritmo constante.","Aunque ""más tapas, menos tiempo"" suena a beneficio, el cuerpo describe el funcionamiento de la MINI JUNIOR (precisión, orden, ritmo). Foco dominante: la máquina.",,,,,,,,4.892100170532762,Medio
Metalurgica Vazquez,metalurgicavazquez,DXUICK4DTsW,https://www.instagram.com/metalurgicavazquez/reel/DXUICK4DTsW/,71300,BENEFICIO,alta,Aumentá tu producción de empanadas sin sumar más personal ni más esfuerzo.,"Marco directo de eficiencia laboral del cliente, soportado con cifra (1.000 empanadas/hora con dos operarios). Promesa al negocio.",,,,,,,,4.8530956208958544,Medio
Metalurgica Vazquez,metalurgicavazquez,DWRVCDejYlB,https://www.instagram.com/metalurgicavazquez/reel/DWRVCDejYlB/,67800,CARACTERÍSTICA,alta,La Mini Junior produce aprox. 600 docenas por hora y funciona con solo 2 operarios.,Spec compacta del equipo (capacidad y operarios). Sin lenguaje aspiracional ni de impacto al negocio.,,,,,,,,4.831236099343157,Medio
Metalurgica Vazquez,metalurgicavazquez,DWjbowwoy3R,https://www.instagram.com/metalurgicavazquez/reel/DWjbowwoy3R/,49300,CARACTERÍSTICA,baja,Escribinos al +549 11 3198 3998 si estás en Argentina o resto del mundo.,Caption es solo CTA de contacto. Sin contenido funcional ni narrativo. Confianza baja por ausencia de señal.,,,,,,,,4.692855728406588,Medio
Metalurgica Vazquez,metalurgicavazquez,DW9thp-igvM,https://www.instagram.com/metalurgicavazquez/reel/DW9thp-igvM/,40800,CARACTERÍSTICA,alta,"Empanadas saliendo con ritmo, precisión y producción real. La AR6 en acción.","Demo del equipo destacando atributos del proceso (ritmo, precisión). Foco en mostrar la máquina trabajando.",,,,,,,,4.61067080743203,Medio
Metalurgica Vazquez,metalurgicavazquez,DWEakfejTyq,https://www.instagram.com/metalurgicavazquez/reel/DWEakfejTyq/,19300,BENEFICIO,alta,"Automatizar no es solo sumar maquinaria: es mejorar la calidad, optimizar tiempos y llevar tu planta a otro nivel.","Frase que niega el lado feature (""no es solo sumar maquinaria"") y se inclina explícitamente hacia outcomes operacionales del negocio.",,,,,,,,4.285579810729595,Bajo
Metalurgica Vazquez,metalurgicavazquez,DV9NNR5D6fR,https://www.instagram.com/metalurgicavazquez/reel/DV9NNR5D6fR/,18200,BENEFICIO,alta,¿Seguís apilando pascualinas a mano?,Hook que confronta con un dolor operacional (trabajo manual repetitivo) y promete continuidad de línea + 3.600 pares/hora. Marco de impacto al proceso del cliente.,,,,,,,,4.260095249663711,Bajo
Metalurgica Vazquez,metalurgicavazquez,DWokspJIru-,https://www.instagram.com/metalurgicavazquez/reel/DWokspJIru-/,16300,VALOR,alta,"De Argentina a Madrid. Cuando el trabajo está bien hecho, no hay fronteras.","Visita a cliente Graciana en Madrid narrada como orgullo de marca y alcance global. Frame de identidad, no de spec ni de cifra.",,,,,,,,4.212214247419942,Bajo
Metalurgica Vazquez,metalurgicavazquez,DWG-CfvDRnm,https://www.instagram.com/metalurgicavazquez/reel/DWG-CfvDRnm/,12600,CARACTERÍSTICA,baja,Visitá una planta en funcionamiento con nuestras máquinas de producción de discos.,Invitación a visitar planta con las máquinas trabajando. Sin desarrollo funcional ni promesa económica.,,,,,,,,4.100405011565889,Bajo
Metalurgica Vazquez,metalurgicavazquez,DXcQ78UjWfh,https://www.instagram.com/metalurgicavazquez/reel/DXcQ78UjWfh/,10100,CARACTERÍSTICA,alta,"Innovación, calidad y tecnología italiana en una sola máquina.","Presentación de Modula con detalle de cortes (1,8/6/10 mm), formatos (lasaña, ravioli, ñoquis, etc.) y modularidad. Foco íntegro en el equipo.",,,,,,,,4.0043643711077515,Bajo
Metalurgica Vazquez,metalurgicavazquez,DWWTKn1jacL,https://www.instagram.com/metalurgicavazquez/reel/DWWTKn1jacL/,9093,CARACTERÍSTICA,baja,Encontrá nuestra máquina manual en www.monv.com.ar.,"Caption breve que apunta a la web y al envío internacional. Apenas alude al equipo, sin desarrollar.",,,,,,,,3.9587549498690895,Bajo
